Timestamp,Temperature (C),Humidity (%),Fan On,Humidifier On
2025-02-02 01:12:11,25.9,40.9,False,False
2025-02-02 01:12:16,25.9,44.4,False,False
2025-02-02 01:12:21,26.0,46.8,False,False
2025-02-02 01:14:31,25.9,35.4,False,False
2025-02-02 01:14:37,25.9,35.5,False,False
2025-02-02 01:14:42,25.9,35.5,False,False
2025-02-02 01:14:47,25.9,35.5,False,False
2025-02-02 01:14:52,25.9,35.6,False,False
2025-02-02 01:14:58,25.9,36.5,False,False
2025-02-02 01:15:03,25.9,38.7,False,False
2025-02-02 01:15:08,26.0,41.1,False,False
2025-02-02 01:15:14,26.0,43.9,False,False
2025-02-02 01:17:14,26.0,35.4,False,False
2025-02-02 01:17:20,25.9,35.5,False,False
2025-02-02 01:17:25,25.9,35.6,False,False
2025-02-02 01:17:30,25.9,35.8,False,False
2025-02-02 01:17:36,26.0,35.9,False,False
2025-02-02 01:17:41,26.0,36.4,False,False
2025-02-02 01:17:46,26.0,38.3,False,False
2025-02-02 01:22:50,25.4,36.2,False,False
2025-02-02 01:22:56,25.4,36.1,False,False
2025-02-02 01:23:01,25.4,36.1,False,False
2025-02-02 01:23:06,25.4,36.1,False,False
2025-02-02 01:23:11,25.5,36.2,False,False
2025-02-02 01:23:17,25.5,36.4,False,False
2025-02-02 01:23:22,25.5,37.7,False,False
2025-02-02 01:23:27,25.6,40.3,False,False
2025-02-02 01:23:40,25.7,45.6,False,False
2025-02-02 01:23:45,25.8,48.8,False,False
2025-02-02 01:23:50,25.9,50.4,False,False
2025-02-02 01:23:56,26.0,51.7,False,False
2025-02-02 01:24:01,26.0,52.9,False,False
2025-02-02 01:27:33,25.7,35.6,False,False
2025-02-02 01:27:38,25.7,35.5,False,False
2025-02-02 01:27:43,25.7,35.5,False,False
2025-02-02 01:27:48,25.7,35.6,False,False
2025-02-02 01:27:54,25.7,35.6,False,False
2025-02-02 01:27:59,25.7,36.3,False,False
2025-02-02 01:28:04,25.8,38.0,False,False
2025-02-02 01:28:09,25.8,40.7,False,False
2025-02-02 01:28:15,25.9,43.5,False,False
2025-02-02 01:31:12,25.9,35.4,False,False
2025-02-02 01:31:18,25.8,35.4,False,False
2025-02-02 01:31:23,25.8,35.4,False,False
2025-02-02 01:31:28,25.8,35.6,False,False
2025-02-02 01:31:33,25.8,35.7,False,False
2025-02-02 01:31:39,25.9,36.3,False,False
2025-02-02 01:31:44,25.9,38.5,False,False
2025-02-02 01:31:49,26.0,41.1,False,False
2025-02-02 01:31:54,26.0,43.4,False,False
2025-02-02 01:34:12,26.0,35.2,False,False
2025-02-02 01:34:17,26.0,35.4,False,False
2025-02-02 01:34:29,25.9,35.5,False,False
2025-02-02 01:34:35,26.0,35.4,False,False
2025-02-02 01:34:40,26.0,36.3,False,False
2025-02-02 01:34:45,26.0,38.5,False,False
2025-02-02 01:36:39,26.0,35.2,False,False
2025-02-02 01:36:45,26.0,35.3,False,False
2025-02-02 01:36:50,25.9,35.3,False,False
2025-02-02 01:36:55,25.9,35.4,False,False
2025-02-02 01:37:00,26.0,35.5,False,False
2025-02-02 01:37:06,26.0,35.8,False,False
2025-02-02 01:37:11,26.0,36.9,False,False
2025-02-02 01:46:41,25.2,36.3,False,False
2025-02-02 01:46:47,25.2,36.4,False,False
2025-02-02 01:46:52,25.2,36.4,False,False
2025-02-02 01:46:57,25.2,36.2,False,False
2025-02-02 01:47:02,25.3,36.1,False,False
2025-02-02 01:47:08,25.3,36.4,False,False
2025-02-02 01:47:13,25.4,38.3,False,False
2025-02-02 01:47:18,25.4,40.7,False,False
2025-02-02 01:47:23,25.5,43.7,False,False
2025-02-02 01:47:29,25.6,46.3,False,False
2025-02-02 01:47:34,25.6,48.6,False,False
2025-02-02 01:47:39,25.7,50.6,False,False
2025-02-02 01:47:45,25.8,52.4,False,False
2025-02-02 01:47:50,25.9,53.6,False,False
2025-02-02 01:47:55,26.0,53.9,False,False
2025-02-02 01:50:12,26.0,35.2,False,False
2025-02-02 01:50:18,26.0,35.3,False,False
2025-02-02 01:50:23,26.0,35.3,False,False
2025-02-02 01:50:28,26.0,35.3,False,False
2025-02-02 01:50:33,26.0,35.3,False,False
2025-02-02 01:50:39,26.0,35.5,False,False
2025-02-02 01:50:44,26.0,37.0,False,False
2025-02-02 01:55:57,25.4,35.9,False,False
2025-02-02 01:56:02,25.4,36.1,False,False
2025-02-02 01:56:07,25.4,36.0,False,False
2025-02-02 01:56:13,25.4,36.0,False,False
2025-02-02 01:56:18,25.4,36.5,False,False
2025-02-02 01:56:23,25.5,37.0,False,False
2025-02-02 01:56:28,25.5,38.7,False,False
2025-02-02 01:56:34,25.6,41.6,False,False
2025-02-02 01:56:39,25.6,44.2,False,False
2025-02-02 01:56:44,25.7,46.9,False,False
2025-02-02 01:56:49,25.8,48.9,False,False
2025-02-02 01:56:55,25.8,50.1,False,False
2025-02-02 01:57:00,25.9,51.6,False,False
2025-02-02 01:57:05,26.0,50.4,False,False
2025-02-02 02:04:27,25.3,36.0,False,False
2025-02-02 02:04:32,25.4,36.2,False,False
2025-02-02 02:04:37,25.3,36.2,False,False
2025-02-02 02:04:43,25.3,36.0,False,False
2025-02-02 02:04:48,25.4,35.8,False,False
2025-02-02 02:04:53,25.4,36.2,False,False
2025-02-02 02:04:58,25.5,38.1,False,False
2025-02-02 02:05:04,25.5,40.8,False,False
2025-02-02 02:05:09,25.6,43.3,False,False
2025-02-02 02:05:14,25.7,45.7,False,False
2025-02-02 02:05:19,25.7,48.2,False,False
2025-02-02 02:05:25,25.8,50.0,False,False
2025-02-02 02:05:30,25.9,51.4,False,False
2025-02-02 02:05:35,26.0,52.4,False,False
2025-02-02 02:05:41,26.0,50.8,False,False
2025-02-02 02:16:39,25.2,36.3,False,False
2025-02-02 02:16:44,25.1,36.3,False,False
2025-02-02 02:16:49,25.1,36.3,False,False
2025-02-02 02:16:55,25.2,36.1,False,False
2025-02-02 02:17:00,25.2,36.2,False,False
2025-02-02 02:17:05,25.3,36.8,False,False
2025-02-02 02:17:10,25.3,39.0,False,False
2025-02-02 02:17:16,25.4,40.8,False,False
2025-02-02 02:17:21,25.4,43.5,False,False
2025-02-02 02:17:34,25.6,48.8,False,False
2025-02-02 02:17:39,25.7,51.1,False,False
2025-02-02 02:17:44,25.8,52.6,False,False
2025-02-02 02:17:49,25.9,53.8,False,False
2025-02-02 02:17:55,26.0,54.9,False,False
2025-02-02 02:18:00,26.0,55.5,False,False
2025-02-02 02:25:31,25.3,36.0,False,False
2025-02-02 02:25:37,25.3,35.9,False,False
2025-02-02 02:25:42,25.3,36.1,False,False
2025-02-02 02:25:47,25.3,36.2,False,False
2025-02-02 02:25:53,25.3,36.4,False,False
